impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway_base,setup,1,155.23,286.92,303.29,1.88,100.5
rushway_r5,setup,1,192.22,276.36,323.66,1.94,106.7
rushway_r5,setup,2,156.78,323.61,352.06,1.94,77.1
rushway_base,setup,2,114.1,348.4,355.89,1.83,78.8
rushway_base,setup,3,124.68,386.05,374.99,1.72,102.5
rushway_r5,setup,3,143.83,359.63,367.18,1.61,87.1
rushway_r5,setup,4,113.02,319.31,340.07,1.94,78.9
rushway_base,setup,4,183.38,325.86,350.37,1.69,83.6
rushway_base,setup,5,196.02,338.94,362.93,1.83,79
rushway_r5,setup,5,84.72,355.84,343.24,1.64,70.7
rushway_r5,setup,6,190.5,387.08,359.98,1.67,101.9
rushway_base,setup,6,124.82,338.18,333.46,1.75,95.6
rushway_base,setup,7,73.02,198.88,280.35,1.75,118.6
rushway_r5,setup,7,103.27,360.83,344.99,1.62,110.1
rushway_r5,setup,8,132.24,287.16,298.52,1.97,120.1
rushway_base,setup,8,77.05,328.05,368.83,1.94,94.9
rushway_base,steady,1,116.27,375.55,372.35,1.77,85.6
rushway_r5,steady,1,130.3,224.93,359.31,1.91,149.1
rushway_r5,steady,2,82.25,375.6,317.5,1.75,101.4
rushway_base,steady,2,123.05,308.99,320.36,1.84,107.4
rushway_base,steady,3,109.53,318.16,317.2,1.95,148.8
rushway_r5,steady,3,126.49,338.51,316.76,1.61,107.5
rushway_r5,steady,4,113.83,359.76,377.41,1.5,92.7
rushway_base,steady,4,77.29,344.42,381,1.97,97.8
rushway_base,steady,5,114.79,357.15,334.82,1.75,108.6
rushway_r5,steady,5,234.21,399.59,368.44,1.91,75.8
rushway_r5,steady,6,155.2,245.03,349.22,1.73,131.1
rushway_base,steady,6,145.22,324.01,311.33,1.86,133.8
rushway_base,steady,7,108.69,359.7,278.01,1.94,135.4
rushway_r5,steady,7,206.52,333.74,321.73,1.7,95.2
rushway_r5,steady,8,128.88,323.65,380.39,1.91,78.1
rushway_base,steady,8,117.25,332.47,302.22,2.03,139.3
