impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway,setup,1,73.47,228.78,257.62,2.05,91.9
rushway,setup,2,61.64,229.83,251.91,2.25,148
rushway,setup,3,142.72,246.33,235.18,2.27,157.5
rushway,setup,4,53.68,254.27,244.45,1.84,149.6
rushway,setup,5,71.32,226.29,252.7,2.33,142
goway,setup,1,299.8,286.09,257.4,1.67,87.2
goway,setup,2,151.41,294.49,292.96,1.88,84.6
goway,setup,3,283.94,302,287.05,2.09,90.2
goway,setup,4,247.12,231.14,267.64,1.91,88.5
goway,setup,5,105.85,292.58,259.27,2.11,85.2
sing-box,setup,1,106.69,375.76,338.57,1.31,83
sing-box,setup,2,94.08,346.89,346.92,1.17,82.8
sing-box,setup,3,227.94,394.93,405.11,1.23,79
sing-box,setup,4,107.43,376.47,360.57,1.3,78.7
sing-box,setup,5,131.26,458.27,392.11,1.25,79.6
xray,setup,1,63.47,166.94,176.13,3.5,62.8
xray,setup,2,43.01,178.25,175.48,3.45,64.7
xray,setup,3,57.11,177.49,185.09,3.2,63
xray,setup,4,32.91,179.77,188.32,3.16,63.6
xray,setup,5,28.77,172.87,186.55,3.09,62.3
rushway,steady,1,101.24,214.75,241.05,2.22,155.9
rushway,steady,2,107.61,238.2,252.54,2.05,145.1
rushway,steady,3,77.12,238.76,251.84,2.34,158.8
rushway,steady,4,115.64,238.7,232.99,2.64,142.6
rushway,steady,5,52.32,260.67,253.78,2.36,159
goway,steady,1,288.42,290.7,270.23,1.94,89
goway,steady,2,304.04,248.61,261.76,2.3,88.1
goway,steady,3,163.78,277.09,259.18,2.03,97.9
goway,steady,4,269.64,253.73,256.45,2.31,92
goway,steady,5,319.75,296.89,258.49,2.14,88.7
sing-box,steady,1,90.76,377.92,389.53,1.38,81.1
sing-box,steady,2,269.91,408.73,382.04,1.17,77.9
sing-box,steady,3,237.45,420,396.75,1.25,79.5
sing-box,steady,4,216.84,331.37,381.28,1.52,78.2
sing-box,steady,5,104.36,382.92,387.05,1.08,78.1
xray,steady,1,33.36,174.51,161.85,3.66,63.8
xray,steady,2,44.58,162.99,175.6,3.58,65
xray,steady,3,42.36,176.41,182.79,3.08,65.7
xray,steady,4,58.37,178.63,178.64,3.56,63.9
xray,steady,5,37.55,171.87,178.92,3.2,65
