impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway_base,setup,1,119.11,290.18,277.03,2.11,90.8
rushway_r2,setup,1,106.82,186.33,171.47,2.72,128.4
rushway_r2,setup,2,147.43,217.66,173.64,2.61,153
rushway_base,setup,2,45.11,295.52,286.35,2.05,118.1
rushway_base,setup,3,113.79,304.85,266.75,2.14,110
rushway_r2,setup,3,101.5,228.8,205.75,2.73,151.6
rushway_r2,setup,4,143.05,210.4,189.44,2.73,158.6
rushway_base,setup,4,137.19,214.48,259.29,2.33,152.9
rushway_base,setup,5,160.72,263.28,296.27,2.23,114.7
rushway_r2,setup,5,161.58,274.14,263.22,2.31,113.1
rushway_r2,setup,6,166.25,210.54,210.09,2.67,76.6
rushway_base,setup,6,62.6,213.26,241.1,2.41,129.4
rushway_base,setup,7,176.15,287.09,292.09,1.98,122.4
rushway_r2,setup,7,114.91,244.85,269.34,2.34,136.9
rushway_r2,setup,8,160.02,228.78,216.11,2.42,123.6
rushway_base,setup,8,152.56,203.52,219.39,2.31,146.4
rushway_base,steady,1,78.65,198.61,219.38,2.39,160.7
rushway_r2,steady,1,100.77,197.53,212.64,2.38,149.3
rushway_r2,steady,2,55.27,270.19,251.49,2.28,152
rushway_base,steady,2,133.03,201.02,223.97,2.66,142.5
rushway_base,steady,3,75.01,221.82,214.77,2.41,152.1
rushway_r2,steady,3,110.06,229.12,253.84,2.27,151.5
rushway_r2,steady,4,77.92,246.38,235.75,2.25,138.1
rushway_base,steady,4,188.95,253.54,223.03,2.5,150.3
rushway_base,steady,5,74.1,198.08,206.87,2.66,138.6
rushway_r2,steady,5,101.44,214.63,251.5,2.33,148.6
rushway_r2,steady,6,79.92,224.9,260.23,2.31,147.3
rushway_base,steady,6,132.44,302.53,257.51,1.98,135.6
rushway_base,steady,7,87.54,198.79,217.67,2.45,152
rushway_r2,steady,7,148.81,197.88,205.13,2.64,148
rushway_r2,steady,8,81.34,236.1,272.91,2.5,149.7
rushway_base,steady,8,104.39,263.96,269.45,2.02,151.1
