impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway_base,setup,1,70.56,785.38,802.73,1.89,119.8
rushway_r6,setup,1,150.14,678.26,787.23,1.81,121.6
rushway_r6,setup,2,258.52,554.16,749.38,1.75,63.8
rushway_base,setup,2,120.52,665.4,709.76,1.88,127.7
rushway_base,setup,3,152.18,734.22,757.85,1.98,98.2
rushway_r6,setup,3,245.83,857.9,711.74,1.95,105.4
rushway_r6,setup,4,239.64,800.1,757.54,1.8,119.4
rushway_base,setup,4,84.2,856.21,839.74,1.8,127.4
rushway_base,setup,5,301.1,620.34,808.94,1.72,125.3
rushway_r6,setup,5,228.39,700.37,651.78,1.78,103.8
rushway_r6,setup,6,250.31,864.33,266.39,1.72,134
rushway_base,setup,6,214.32,760.03,764.28,1.59,91.5
rushway_base,setup,7,109.2,684.48,843.23,1.88,136.5
rushway_r6,setup,7,148.86,723.94,866.15,1.69,127.5
rushway_r6,setup,8,102.49,777.71,877.7,1.67,116
rushway_base,setup,8,125.42,809.06,845.9,2,129.9
rushway_base,steady,1,221.89,817.51,912.43,1.53,115.9
rushway_r6,steady,1,168.1,740.88,872.84,1.72,145
rushway_r6,steady,2,184.01,762.96,869.1,1.67,124
rushway_base,steady,2,87.71,817.52,776.48,1.84,126.1
rushway_base,steady,3,72.78,785.76,834.79,1.66,125.7
rushway_r6,steady,3,130.84,675.81,740.59,2.03,115.6
rushway_r6,steady,4,155.72,792.3,826.99,1.55,122.8
rushway_base,steady,4,145.63,644.71,903.19,1.67,146.1
rushway_base,steady,5,81.47,453.15,897.44,1.77,153.8
rushway_r6,steady,5,130.24,925.3,818.39,1.8,130.4
rushway_r6,steady,6,312.5,786.75,885.33,1.56,114.2
rushway_base,steady,6,136.12,775.23,848.3,1.73,129
rushway_base,steady,7,262.44,636.15,731.57,1.92,125.5
rushway_r6,steady,7,87.01,789.44,960.38,1.75,123.8
rushway_r6,steady,8,83.99,779.94,811.02,1.42,80.5
rushway_base,steady,8,326.59,874.16,808.58,1.72,85.4
