impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway_base,setup,1,154.86,231.45,210.28,2.25,145.6
rushway_r1,setup,1,79.15,222.81,201.29,2.22,138
rushway_r1,setup,2,151.53,244.03,204.81,2.39,118
rushway_base,setup,2,120.59,186.23,202.39,2.52,160.3
rushway_base,setup,3,104.15,197.93,176.06,2.39,141.9
rushway_r1,setup,3,152.42,195.92,213.08,2.31,132.5
rushway_r1,setup,4,142.63,205.67,232.64,2.55,129.9
rushway_base,setup,4,122.85,227.85,235.02,2.7,117.4
rushway_base,setup,5,131.84,211.83,208.68,2.42,158.4
rushway_r1,setup,5,137.82,196.55,219.48,2.5,153.2
rushway_r1,setup,6,53.86,248.26,205.91,2.39,143.1
rushway_base,setup,6,164.63,224.57,228.78,2.77,128.2
rushway_base,setup,7,94.61,209.81,223.58,2.72,129.7
rushway_r1,setup,7,108.85,246.44,239.09,2.53,131.8
rushway_r1,setup,8,86.54,220.21,214.69,2.28,148.2
rushway_base,setup,8,83.72,189.14,196.38,2.59,156.7
rushway_base,steady,1,106.66,209.96,204.62,2.64,158.2
rushway_r1,steady,1,82.17,235.6,238.51,2.62,131.6
rushway_r1,steady,2,178.35,216.68,219.47,2.38,152.6
rushway_base,steady,2,143.09,228.65,230.2,2.55,149.8
rushway_base,steady,3,62.28,203.61,228.89,3.02,164.3
rushway_r1,steady,3,66.04,223.77,234.36,2.42,140.5
rushway_r1,steady,4,92.1,185.06,229.53,2.52,134.8
rushway_base,steady,4,62.2,220.59,222,2.69,163.4
rushway_base,steady,5,148.45,231.83,227.96,2.61,159.5
rushway_r1,steady,5,73.58,236.75,227.67,2.52,111.8
rushway_r1,steady,6,94.9,223.08,231.87,2.34,138.1
rushway_base,steady,6,114.9,213.18,220.21,2.62,142.7
rushway_base,steady,7,90.1,222.74,222.01,2.86,156.6
rushway_r1,steady,7,84.6,229.99,235.25,2.47,142.8
rushway_r1,steady,8,147.87,240.77,233.44,2.36,135.9
rushway_base,steady,8,176.53,209.07,219.59,2.52,165.1
